step,file,tensor,orientation,rows,cols,cells,dense_bytes,distinct_nonzero_values,singleton_terminals,minimum_symbol_width,minimum_dictionary_and_singleton_bytes,bound_ratio,rejected_95pct,current_uint32_terminal_overflow,positive_zero_cells
1000,model.safetensors,blocks.7.attn.c_v.weight,original,512,512,262144,1048576,261710,262144,27,1931640,1.8421554565429688,True,False,0
1000,model.safetensors,blocks.7.attn.c_v.weight,transposed,512,512,262144,1048576,261710,262144,27,1931640,1.8421554565429688,True,False,0
1000,model.safetensors,blocks.7.attn.ve_gate.weight,original,4,32,128,512,128,128,13,784,1.53125,True,False,0
1000,model.safetensors,blocks.7.attn.ve_gate.weight,transposed,32,4,128,512,128,128,10,736,1.4375,True,False,0
1000,model.safetensors,blocks.7.mlp.c_fc.weight,original,2048,512,1048576,4194304,1042854,1048556,29,7972496,1.9007911682128906,True,False,0
1000,model.safetensors,blocks.7.mlp.c_fc.weight,transposed,512,2048,1048576,4194304,1042854,1048570,31,8234689,1.9633028507232666,True,False,0
1000,model.safetensors,blocks.7.mlp.c_proj.weight,original,512,2048,1048576,4194304,1042896,1048568,31,8234849,1.9633409976959229,True,False,0
1000,model.safetensors,blocks.7.mlp.c_proj.weight,transposed,2048,512,1048576,4194304,1042896,1048562,29,7972686,1.90083646774292,True,False,0
1000,model.safetensors,lm_head.weight,original,32768,512,16777216,67108864,14891185,16756726,33,128686299,1.9175752848386765,True,True,0
1000,model.safetensors,lm_head.weight,transposed,512,32768,16777216,67108864,14891185,16777068,39,141353011,2.106324002146721,True,True,0
1000,model.safetensors,value_embeds.1.weight,original,32768,512,16777216,67108864,15220145,16770471,33,130058837,1.9380276948213577,True,True,0
1000,model.safetensors,value_embeds.1.weight,transposed,512,32768,16777216,67108864,15220145,16777084,39,142668929,2.1259327083826065,True,True,0
1000,model.safetensors,value_embeds.3.weight,original,32768,512,16777216,67108864,15237797,16770448,33,130129350,1.9390784204006195,True,True,0
1000,model.safetensors,value_embeds.3.weight,transposed,512,32768,16777216,67108864,15237797,16777094,39,142739586,2.12698557972908,True,True,0
1000,model.safetensors,value_embeds.5.weight,original,32768,512,16777216,67108864,15242696,16770787,33,130150345,1.9393912702798843,True,True,0
1000,model.safetensors,value_embeds.5.weight,transposed,512,32768,16777216,67108864,15242696,16777094,39,142759182,2.127277582883835,True,True,0
1000,model.safetensors,value_embeds.7.weight,original,32768,512,16777216,67108864,15253299,16770865,33,130193079,1.9400280565023422,True,True,0
1000,model.safetensors,value_embeds.7.weight,transposed,512,32768,16777216,67108864,15253299,16777116,39,142801701,2.127911165356636,True,True,0
1000,model.safetensors,wte.weight,original,32768,512,16777216,67108864,15036302,16769819,33,129320776,1.9270297288894653,True,True,0
1000,model.safetensors,wte.weight,transposed,512,32768,16777216,67108864,15036302,16777120,39,141933732,2.1149774193763733,True,True,0
1000,optimizer.safetensors,adam.lm_head.weight.m,original,32768,512,16777216,67108864,16045198,16773556,33,133371775,1.987394317984581,True,True,0
1000,optimizer.safetensors,adam.lm_head.weight.m,transposed,512,32768,16777216,67108864,16045198,16777094,39,145969190,2.1751104295253754,True,True,0
1000,optimizer.safetensors,adam.lm_head.weight.v,original,32768,512,16777216,67108864,15666745,16772180,33,131852287,1.9647521823644638,True,True,0
1000,optimizer.safetensors,adam.lm_head.weight.v,transposed,512,32768,16777216,67108864,15666745,16777016,39,144454997,2.1525471955537796,True,True,0
1000,optimizer.safetensors,adam.value_embeds.1.weight.m,original,32768,512,16777216,67108864,15685049,16316761,33,130046900,1.9378498196601868,True,True,458011
1000,optimizer.safetensors,adam.value_embeds.1.weight.m,transposed,512,32768,16777216,67108864,15685049,16318889,39,142294844,2.120358407497406,True,True,458011
1000,optimizer.safetensors,adam.value_embeds.1.weight.v,original,32768,512,16777216,67108864,15115745,16604454,33,128956417,1.9216003566980362,True,True,166150
1000,optimizer.safetensors,adam.value_embeds.1.weight.v,transposed,512,32768,16777216,67108864,15115745,16610680,39,141440109,2.1076218634843826,True,True,166150
1000,optimizer.safetensors,adam.value_embeds.3.weight.m,original,32768,512,16777216,67108864,15709352,16313645,33,130131258,1.9391068518161774,True,True,461061
1000,optimizer.safetensors,adam.value_embeds.3.weight.m,transposed,512,32768,16777216,67108864,15709352,16315879,39,142377383,2.121588334441185,True,True,461061
1000,optimizer.safetensors,adam.value_embeds.3.weight.v,original,32768,512,16777216,67108864,15270797,16598197,33,129550815,1.9304575771093369,True,True,172918
1000,optimizer.safetensors,adam.value_embeds.3.weight.v,transposed,512,32768,16777216,67108864,15270797,16603990,39,142027704,2.1163777112960815,True,True,172918
1000,optimizer.safetensors,adam.value_embeds.5.weight.m,original,32768,512,16777216,67108864,15712570,16315112,33,130150181,1.9393888264894485,True,True,459614
1000,optimizer.safetensors,adam.value_embeds.5.weight.m,transposed,512,32768,16777216,67108864,15712570,16317298,39,142397172,2.12188321352005,True,True,459614
1000,optimizer.safetensors,adam.value_embeds.5.weight.v,original,32768,512,16777216,67108864,15273592,16595369,33,129550330,1.9304503500461578,True,True,175582
1000,optimizer.safetensors,adam.value_embeds.5.weight.v,transposed,512,32768,16777216,67108864,15273592,16601326,39,142025897,2.1163507848978043,True,True,175582
1000,optimizer.safetensors,adam.value_embeds.7.weight.m,original,32768,512,16777216,67108864,15717092,16313542,33,130161793,1.9395618587732315,True,True,461060
1000,optimizer.safetensors,adam.value_embeds.7.weight.m,transposed,512,32768,16777216,67108864,15717092,16315926,39,142408572,2.12205308675766,True,True,461060
1000,optimizer.safetensors,adam.value_embeds.7.weight.v,original,32768,512,16777216,67108864,15335643,16598621,33,129811948,1.9343487620353699,True,True,172362
1000,optimizer.safetensors,adam.value_embeds.7.weight.v,transposed,512,32768,16777216,67108864,15335643,16604588,39,142290003,2.1202862709760666,True,True,172362
1000,optimizer.safetensors,adam.wte.weight.m,original,32768,512,16777216,67108864,15644814,16345941,33,130006327,1.9372452348470688,True,True,428495
1000,optimizer.safetensors,adam.wte.weight.m,transposed,512,32768,16777216,67108864,15644814,16348257,39,142277073,2.12009359896183,True,True,428495
1000,optimizer.safetensors,adam.wte.weight.v,original,32768,512,16777216,67108864,14670080,16622581,33,127248531,1.8961508721113205,True,True,145882
1000,optimizer.safetensors,adam.wte.weight.v,transposed,512,32768,16777216,67108864,14670080,16630732,39,139755203,2.0825148075819016,True,True,145882
1000,optimizer.safetensors,muon.blocks.0.attn.c_k.weight,original,512,512,262144,1048576,261646,262142,27,1931378,1.8419055938720703,True,False,0
1000,optimizer.safetensors,muon.blocks.0.attn.c_k.weight,transposed,512,512,262144,1048576,261646,262142,27,1931378,1.8419055938720703,True,False,0
1000,optimizer.safetensors,muon.blocks.0.attn.c_proj.weight,original,512,512,262144,1048576,261736,262136,27,1931717,1.842228889465332,True,False,0
1000,optimizer.safetensors,muon.blocks.0.attn.c_proj.weight,transposed,512,512,262144,1048576,261736,262140,27,1931731,1.8422422409057617,True,False,0
1000,optimizer.safetensors,muon.blocks.0.attn.c_q.weight,original,512,512,262144,1048576,261660,262140,27,1931427,1.8419523239135742,True,False,0
1000,optimizer.safetensors,muon.blocks.0.attn.c_q.weight,transposed,512,512,262144,1048576,261660,262144,27,1931440,1.8419647216796875,True,False,0
1000,optimizer.safetensors,muon.blocks.0.attn.c_v.weight,original,512,512,262144,1048576,261678,262144,27,1931512,1.8420333862304688,True,False,0
1000,optimizer.safetensors,muon.blocks.0.attn.c_v.weight,transposed,512,512,262144,1048576,261678,262140,27,1931499,1.8420209884643555,True,False,0
1000,optimizer.safetensors,muon.blocks.0.mlp.c_fc.weight,original,2048,512,1048576,4194304,1042325,1048542,29,7970329,1.9002745151519775,True,False,0
1000,optimizer.safetensors,muon.blocks.0.mlp.c_fc.weight,transposed,512,2048,1048576,4194304,1042325,1048560,31,8232534,1.9627890586853027,True,False,0
1000,optimizer.safetensors,muon.blocks.0.mlp.c_proj.weight,original,512,2048,1048576,4194304,1041657,1048566,31,8229886,1.9621577262878418,True,False,0
1000,optimizer.safetensors,muon.blocks.0.mlp.c_proj.weight,transposed,2048,512,1048576,4194304,1041657,1048534,29,7967628,1.8996305465698242,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.c_k.weight,original,512,512,262144,1048576,261728,262142,27,1931706,1.8422183990478516,True,False,0
