step,path,raw_bytes,resident_bytes,mode,encode_seconds
1,blocks.3.attn.ve_gate.weight.buf,512,1022,RAW,2.862501423805952e-05
1,blocks.3.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08537016599439085
1,blocks.3.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09193695802241564
1,blocks.4.attn.c_q.weight.buf,1048576,1049401,RAW,0.02541100000962615
1,blocks.4.attn.c_k.weight.buf,1048576,1049401,RAW,0.025666416011517867
1,blocks.4.attn.c_v.weight.buf,1048576,1049401,RAW,0.02023479199851863
1,blocks.4.attn.c_proj.weight.buf,1048576,1049401,RAW,0.028573624993441626
1,blocks.4.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.09074654098367319
1,blocks.4.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.1274654580047354
1,blocks.5.attn.c_q.weight.buf,1048576,1049401,RAW,0.02165275000152178
1,blocks.5.attn.c_k.weight.buf,1048576,1049401,RAW,0.021266333991661668
1,blocks.5.attn.c_v.weight.buf,1048576,1049401,RAW,0.0284621249884367
1,blocks.5.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02159750001737848
1,blocks.5.attn.ve_gate.weight.buf,512,1022,RAW,2.5707995519042015e-05
1,blocks.5.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.0909612080140505
1,blocks.5.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10364112499519251
1,blocks.6.attn.c_q.weight.buf,1048576,1049401,RAW,0.021020916989073157
1,blocks.6.attn.c_k.weight.buf,1048576,1049401,RAW,0.020173708006041124
1,blocks.6.attn.c_v.weight.buf,1048576,1049401,RAW,0.025986791006289423
1,blocks.6.attn.c_proj.weight.buf,1048576,1049401,RAW,0.021064542001113296
1,blocks.6.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08791341600590385
1,blocks.6.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09753691701916978
1,blocks.7.attn.c_q.weight.buf,1048576,1049401,RAW,0.026673874992411584
1,blocks.7.attn.c_k.weight.buf,1048576,1049401,RAW,0.01967308300663717
1,blocks.7.attn.c_v.weight.buf,1048576,1049401,RAW,0.02016616699984297
1,blocks.7.attn.c_proj.weight.buf,1048576,1049401,RAW,0.03386137500638142
1,blocks.7.attn.ve_gate.weight.buf,512,1022,RAW,5.3916999604552984e-05
1,blocks.7.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08870558300986886
1,blocks.7.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09805941698141396
1,lm_head.weight.m,67108864,67136149,RAW,1.399210834002588
1,lm_head.weight.v,67108864,67136149,RAW,1.3929065829725005
1,resid_lambdas.m,32,32,RAW_VECTOR,1.4666991773992777e-05
1,resid_lambdas.v,32,32,RAW_VECTOR,6.67001586407423e-07
1,x0_lambdas.m,32,32,RAW_VECTOR,1.2500095181167126e-06
1,x0_lambdas.v,32,32,RAW_VECTOR,1.2920063454657793e-06
1,value_embeds.1.weight.m,67108864,9197881,GRAMMAR,0.1412134580023121
1,value_embeds.1.weight.v,67108864,9195577,GRAMMAR,0.1356516669911798
1,value_embeds.3.weight.m,67108864,9199185,GRAMMAR,0.13748470897553489
1,value_embeds.3.weight.v,67108864,9194029,GRAMMAR,0.14192258301773109
1,value_embeds.5.weight.m,67108864,9200501,GRAMMAR,0.1403858329867944
1,value_embeds.5.weight.v,67108864,9194261,GRAMMAR,0.14162979100365192
1,value_embeds.7.weight.m,67108864,9196909,GRAMMAR,0.14203237497713417
1,value_embeds.7.weight.v,67108864,9196165,GRAMMAR,0.1507243750093039
2,wte.weight.m,67108864,20374617,GRAMMAR,0.2600392079912126
2,wte.weight.v,67108864,20373633,GRAMMAR,0.2669331670040265
2,blocks.0.attn.c_q.weight.buf,1048576,1049401,RAW,0.02180424999096431
2,blocks.0.attn.c_k.weight.buf,1048576,1049401,RAW,0.022133249993203208
2,blocks.0.attn.c_v.weight.buf,1048576,1049401,RAW,0.021127832995261997
2,blocks.0.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020856624993029982
2,blocks.0.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.09403629202279262
2,blocks.0.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.11985054198885337
2,blocks.1.attn.c_q.weight.buf,1048576,1049401,RAW,0.03195983401383273
2,blocks.1.attn.c_k.weight.buf,1048576,1049401,RAW,0.021041083004092798
2,blocks.1.attn.c_v.weight.buf,1048576,1049401,RAW,0.021548707998590544
2,blocks.1.attn.c_proj.weight.buf,1048576,1049401,RAW,0.03004020798834972
2,blocks.1.attn.ve_gate.weight.buf,512,1022,RAW,2.345800749026239e-05
2,blocks.1.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08787774998927489
2,blocks.1.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09756945798289962
2,blocks.2.attn.c_q.weight.buf,1048576,1049401,RAW,0.027120874990941957
2,blocks.2.attn.c_k.weight.buf,1048576,1049401,RAW,0.02052345799165778
2,blocks.2.attn.c_v.weight.buf,1048576,1049401,RAW,0.02071620899369009
2,blocks.2.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020060666982317343
2,blocks.2.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08772270800545812
2,blocks.2.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10565737498109229
2,blocks.3.attn.c_q.weight.buf,1048576,1049401,RAW,0.020320250012446195
2,blocks.3.attn.c_k.weight.buf,1048576,1049401,RAW,0.027693415991961956
2,blocks.3.attn.c_v.weight.buf,1048576,1049401,RAW,0.020306291989982128
2,blocks.3.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020396584004629403
2,blocks.3.attn.ve_gate.weight.buf,512,1022,RAW,1.229200279340148e-05
2,blocks.3.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08857166601228528
2,blocks.3.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09651762500288896
2,blocks.4.attn.c_q.weight.buf,1048576,1049401,RAW,0.02141804198618047
2,blocks.4.attn.c_k.weight.buf,1048576,1049401,RAW,0.021363832987844944
2,blocks.4.attn.c_v.weight.buf,1048576,1049401,RAW,0.023147957981564105
2,blocks.4.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020852541987551376
2,blocks.4.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08851558400783688
2,blocks.4.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10676179200527258
2,blocks.5.attn.c_q.weight.buf,1048576,1049401,RAW,0.02044074999867007
